stage_id,balancing_type_horizon,horizon,tmp_start,tmp_start_spinup_or_lookahead,tmp_end,tmp_end_spinup_or_lookahead
1,day,2030352,20308425,0,20308448,0
1,day,2030353,20308449,0,20308472,0
1,day,2030354,20308473,0,20308496,0
1,day,2030355,20308497,0,20308520,0
1,day,2030356,20308521,0,20308544,0
1,day,2030357,20308545,0,20308568,0
1,day,2030358,20308569,0,20308592,0
1,day,2030359,20308593,0,20308616,0
1,day,2030360,20308617,0,20308640,0
1,day,2030361,20308641,0,20308664,0
1,day,2030362,20308665,0,20308688,0
1,day,2030363,20308689,0,20308712,0
1,day,2030364,20308713,0,20308736,0
1,day,2030365,20308737,0,20308760,0
1,day,2035001,20350001,0,20350024,0
1,day,2035002,20350025,0,20350048,0
1,day,2035003,20350049,0,20350072,0
1,day,2035004,20350073,0,20350096,0
1,day,2035005,20350097,0,20350120,0
1,day,2035006,20350121,0,20350144,0
1,day,2035007,20350145,0,20350168,0
1,day,2035008,20350169,0,20350192,0
1,day,2035009,20350193,0,20350216,0
1,day,2035010,20350217,0,20350240,0
1,day,2035011,20350241,0,20350264,0
1,day,2035012,20350265,0,20350288,0
1,day,2035013,20350289,0,20350312,0
1,day,2035014,20350313,0,20350336,0
1,day,2035015,20350337,0,20350360,0
1,day,2035016,20350361,0,20350384,0
1,day,2035017,20350385,0,20350408,0
1,day,2035018,20350409,0,20350432,0
1,day,2035019,20350433,0,20350456,0
1,day,2035020,20350457,0,20350480,0
1,day,2035021,20350481,0,20350504,0
1,day,2035022,20350505,0,20350528,0
1,day,2035023,20350529,0,20350552,0
1,day,2035024,20350553,0,20350576,0
1,day,2035025,20350577,0,20350600,0
1,day,2035026,20350601,0,20350624,0
1,day,2035027,20350625,0,20350648,0
1,day,2035028,20350649,0,20350672,0
1,day,2035029,20350673,0,20350696,0
1,day,2035030,20350697,0,20350720,0
1,day,2035031,20350721,0,20350744,0
1,day,2035032,20350745,0,20350768,0
1,day,2035033,20350769,0,20350792,0
1,day,2035034,20350793,0,20350816,0
1,day,2035035,20350817,0,20350840,0
1,day,2035036,20350841,0,20350864,0
1,day,2035037,20350865,0,20350888,0
1,day,2035038,20350889,0,20350912,0
1,day,2035039,20350913,0,20350936,0
1,day,2035040,20350937,0,20350960,0
1,day,2035041,20350961,0,20350984,0
1,day,2035042,20350985,0,20351008,0
1,day,2035043,20351009,0,20351032,0
1,day,2035044,20351033,0,20351056,0
1,day,2035045,20351057,0,20351080,0
1,day,2035046,20351081,0,20351104,0
1,day,2035047,20351105,0,20351128,0
1,day,2035048,20351129,0,20351152,0
1,day,2035049,20351153,0,20351176,0
1,day,2035050,20351177,0,20351200,0
1,day,2035051,20351201,0,20351224,0
1,day,2035052,20351225,0,20351248,0
1,day,2035053,20351249,0,20351272,0
1,day,2035054,20351273,0,20351296,0
1,day,2035055,20351297,0,20351320,0
1,day,2035056,20351321,0,20351344,0
1,day,2035057,20351345,0,20351368,0
1,day,2035058,20351369,0,20351392,0
1,day,2035059,20351393,0,20351416,0
1,day,2035060,20351417,0,20351440,0
1,day,2035061,20351441,0,20351464,0
1,day,2035062,20351465,0,20351488,0
1,day,2035063,20351489,0,20351512,0
1,day,2035064,20351513,0,20351536,0
1,day,2035065,20351537,0,20351560,0
1,day,2035066,20351561,0,20351584,0
1,day,2035067,20351585,0,20351608,0
1,day,2035068,20351609,0,20351632,0
1,day,2035069,20351633,0,20351656,0
1,day,2035070,20351657,0,20351680,0
1,day,2035071,20351681,0,20351704,0
1,day,2035072,20351705,0,20351728,0
1,day,2035073,20351729,0,20351752,0
1,day,2035074,20351753,0,20351776,0
1,day,2035075,20351777,0,20351800,0
1,day,2035076,20351801,0,20351824,0
1,day,2035077,20351825,0,20351848,0
1,day,2035078,20351849,0,20351872,0
1,day,2035079,20351873,0,20351896,0
1,day,2035080,20351897,0,20351920,0
1,day,2035081,20351921,0,20351944,0
1,day,2035082,20351945,0,20351968,0
1,day,2035083,20351969,0,20351992,0
1,day,2035084,20351993,0,20352016,0
1,day,2035085,20352017,0,20352040,0
1,day,2035086,20352041,0,20352064,0
1,day,2035087,20352065,0,20352088,0
1,day,2035088,20352089,0,20352112,0
1,day,2035089,20352113,0,20352136,0
1,day,2035090,20352137,0,20352160,0
1,day,2035091,20352161,0,20352184,0
1,day,2035092,20352185,0,20352208,0
1,day,2035093,20352209,0,20352232,0
1,day,2035094,20352233,0,20352256,0
1,day,2035095,20352257,0,20352280,0
1,day,2035096,20352281,0,20352304,0
1,day,2035097,20352305,0,20352328,0
1,day,2035098,20352329,0,20352352,0
1,day,2035099,20352353,0,20352376,0
1,day,2035100,20352377,0,20352400,0
1,day,2035101,20352401,0,20352424,0
1,day,2035102,20352425,0,20352448,0
1,day,2035103,20352449,0,20352472,0
1,day,2035104,20352473,0,20352496,0
1,day,2035105,20352497,0,20352520,0
1,day,2035106,20352521,0,20352544,0
1,day,2035107,20352545,0,20352568,0
1,day,2035108,20352569,0,20352592,0
1,day,2035109,20352593,0,20352616,0
1,day,2035110,20352617,0,20352640,0
1,day,2035111,20352641,0,20352664,0
1,day,2035112,20352665,0,20352688,0
1,day,2035113,20352689,0,20352712,0
1,day,2035114,20352713,0,20352736,0
1,day,2035115,20352737,0,20352760,0
1,day,2035116,20352761,0,20352784,0
1,day,2035117,20352785,0,20352808,0
1,day,2035118,20352809,0,20352832,0
1,day,2035119,20352833,0,20352856,0
1,day,2035120,20352857,0,20352880,0
1,day,2035121,20352881,0,20352904,0
1,day,2035122,20352905,0,20352928,0
1,day,2035123,20352929,0,20352952,0
1,day,2035124,20352953,0,20352976,0
1,day,2035125,20352977,0,20353000,0
1,day,2035126,20353001,0,20353024,0
1,day,2035127,20353025,0,20353048,0
1,day,2035128,20353049,0,20353072,0
1,day,2035129,20353073,0,20353096,0
1,day,2035130,20353097,0,20353120,0
1,day,2035131,20353121,0,20353144,0
1,day,2035132,20353145,0,20353168,0
1,day,2035133,20353169,0,20353192,0
1,day,2035134,20353193,0,20353216,0
1,day,2035135,20353217,0,20353240,0
1,day,2035136,20353241,0,20353264,0
1,day,2035137,20353265,0,20353288,0
1,day,2035138,20353289,0,20353312,0
1,day,2035139,20353313,0,20353336,0
1,day,2035140,20353337,0,20353360,0
1,day,2035141,20353361,0,20353384,0
1,day,2035142,20353385,0,20353408,0
1,day,2035143,20353409,0,20353432,0
1,day,2035144,20353433,0,20353456,0
1,day,2035145,20353457,0,20353480,0
1,day,2035146,20353481,0,20353504,0
1,day,2035147,20353505,0,20353528,0
1,day,2035148,20353529,0,20353552,0
1,day,2035149,20353553,0,20353576,0
1,day,2035150,20353577,0,20353600,0
1,day,2035151,20353601,0,20353624,0
1,day,2035152,20353625,0,20353648,0
1,day,2035153,20353649,0,20353672,0
1,day,2035154,20353673,0,20353696,0
1,day,2035155,20353697,0,20353720,0
1,day,2035156,20353721,0,20353744,0
1,day,2035157,20353745,0,20353768,0
1,day,2035158,20353769,0,20353792,0
1,day,2035159,20353793,0,20353816,0
1,day,2035160,20353817,0,20353840,0
1,day,2035161,20353841,0,20353864,0
1,day,2035162,20353865,0,20353888,0
1,day,2035163,20353889,0,20353912,0
1,day,2035164,20353913,0,20353936,0
1,day,2035165,20353937,0,20353960,0
1,day,2035166,20353961,0,20353984,0
1,day,2035167,20353985,0,20354008,0
1,day,2035168,20354009,0,20354032,0
1,day,2035169,20354033,0,20354056,0
1,day,2035170,20354057,0,20354080,0
1,day,2035171,20354081,0,20354104,0
1,day,2035172,20354105,0,20354128,0
1,day,2035173,20354129,0,20354152,0
1,day,2035174,20354153,0,20354176,0
1,day,2035175,20354177,0,20354200,0
1,day,2035176,20354201,0,20354224,0
1,day,2035177,20354225,0,20354248,0
1,day,2035178,20354249,0,20354272,0
1,day,2035179,20354273,0,20354296,0
1,day,2035180,20354297,0,20354320,0
1,day,2035181,20354321,0,20354344,0
1,day,2035182,20354345,0,20354368,0
1,day,2035183,20354369,0,20354392,0
1,day,2035184,20354393,0,20354416,0
1,day,2035185,20354417,0,20354440,0
1,day,2035186,20354441,0,20354464,0
1,day,2035187,20354465,0,20354488,0
1,day,2035188,20354489,0,20354512,0
1,day,2035189,20354513,0,20354536,0
1,day,2035190,20354537,0,20354560,0
1,day,2035191,20354561,0,20354584,0
1,day,2035192,20354585,0,20354608,0
1,day,2035193,20354609,0,20354632,0
1,day,2035194,20354633,0,20354656,0
1,day,2035195,20354657,0,20354680,0
1,day,2035196,20354681,0,20354704,0
1,day,2035197,20354705,0,20354728,0
1,day,2035198,20354729,0,20354752,0
1,day,2035199,20354753,0,20354776,0
1,day,2035200,20354777,0,20354800,0
1,day,2035201,20354801,0,20354824,0
1,day,2035202,20354825,0,20354848,0
1,day,2035203,20354849,0,20354872,0
1,day,2035204,20354873,0,20354896,0
1,day,2035205,20354897,0,20354920,0
1,day,2035206,20354921,0,20354944,0
1,day,2035207,20354945,0,20354968,0
1,day,2035208,20354969,0,20354992,0
1,day,2035209,20354993,0,20355016,0
1,day,2035210,20355017,0,20355040,0
1,day,2035211,20355041,0,20355064,0
1,day,2035212,20355065,0,20355088,0
1,day,2035213,20355089,0,20355112,0
1,day,2035214,20355113,0,20355136,0
1,day,2035215,20355137,0,20355160,0
1,day,2035216,20355161,0,20355184,0
1,day,2035217,20355185,0,20355208,0
1,day,2035218,20355209,0,20355232,0
1,day,2035219,20355233,0,20355256,0
1,day,2035220,20355257,0,20355280,0
1,day,2035221,20355281,0,20355304,0
1,day,2035222,20355305,0,20355328,0
1,day,2035223,20355329,0,20355352,0
1,day,2035224,20355353,0,20355376,0
1,day,2035225,20355377,0,20355400,0
1,day,2035226,20355401,0,20355424,0
1,day,2035227,20355425,0,20355448,0
1,day,2035228,20355449,0,20355472,0
1,day,2035229,20355473,0,20355496,0
1,day,2035230,20355497,0,20355520,0
1,day,2035231,20355521,0,20355544,0
1,day,2035232,20355545,0,20355568,0
1,day,2035233,20355569,0,20355592,0
1,day,2035234,20355593,0,20355616,0
1,day,2035235,20355617,0,20355640,0
1,day,2035236,20355641,0,20355664,0
1,day,2035237,20355665,0,20355688,0
1,day,2035238,20355689,0,20355712,0
1,day,2035239,20355713,0,20355736,0
1,day,2035240,20355737,0,20355760,0
1,day,2035241,20355761,0,20355784,0
1,day,2035242,20355785,0,20355808,0
1,day,2035243,20355809,0,20355832,0
1,day,2035244,20355833,0,20355856,0
1,day,2035245,20355857,0,20355880,0
1,day,2035246,20355881,0,20355904,0
1,day,2035247,20355905,0,20355928,0
1,day,2035248,20355929,0,20355952,0
1,day,2035249,20355953,0,20355976,0
1,day,2035250,20355977,0,20356000,0
1,day,2035251,20356001,0,20356024,0
1,day,2035252,20356025,0,20356048,0
1,day,2035253,20356049,0,20356072,0
1,day,2035254,20356073,0,20356096,0
1,day,2035255,20356097,0,20356120,0
1,day,2035256,20356121,0,20356144,0
1,day,2035257,20356145,0,20356168,0
1,day,2035258,20356169,0,20356192,0
1,day,2035259,20356193,0,20356216,0
1,day,2035260,20356217,0,20356240,0
1,day,2035261,20356241,0,20356264,0
1,day,2035262,20356265,0,20356288,0
1,day,2035263,20356289,0,20356312,0
1,day,2035264,20356313,0,20356336,0
1,day,2035265,20356337,0,20356360,0
1,day,2035266,20356361,0,20356384,0
1,day,2035267,20356385,0,20356408,0
1,day,2035268,20356409,0,20356432,0
1,day,2035269,20356433,0,20356456,0
1,day,2035270,20356457,0,20356480,0
1,day,2035271,20356481,0,20356504,0
1,day,2035272,20356505,0,20356528,0
1,day,2035273,20356529,0,20356552,0
1,day,2035274,20356553,0,20356576,0
1,day,2035275,20356577,0,20356600,0
1,day,2035276,20356601,0,20356624,0
1,day,2035277,20356625,0,20356648,0
1,day,2035278,20356649,0,20356672,0
1,day,2035279,20356673,0,20356696,0
1,day,2035280,20356697,0,20356720,0
1,day,2035281,20356721,0,20356744,0
1,day,2035282,20356745,0,20356768,0
1,day,2035283,20356769,0,20356792,0
1,day,2035284,20356793,0,20356816,0
1,day,2035285,20356817,0,20356840,0
1,day,2035286,20356841,0,20356864,0
1,day,2035287,20356865,0,20356888,0
1,day,2035288,20356889,0,20356912,0
1,day,2035289,20356913,0,20356936,0
